t_s,phi_deg,roll_deg,pitch_deg,yaw_deg,pos_x,pos_y,pos_z,u0,u1,u2,u3,wx,wy,wz,wx_dot,wy_dot,wz_dot,pred_wx_dot,pred_wy_dot,pred_wz_dot,pred_nogyro_wx_dot,pred_nogyro_wy_dot,pred_nogyro_wz_dot,tau_gyro_x,tau_gyro_y,tau_gyro_z,flap_damp_x,flap_damp_y,flap_damp_z,flap_prec_x,flap_prec_y,flap_prec_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,spd0,spd1,spd2,spd3,sem_lift,sem_roll,sem_pitch,sem_yaw
0.000000000000000000e+00,8.500000000000000000e+01,-1.071877093874171960e+00,-2.403948267991352084e-01,-6.104887652514814356e-01,-3.224538455301746015e-02,-3.788853490868799856e-01,-1.147962342440365657e-01,1.216006651520729065e-01,1.770898997783660889e-01,2.350025773048400879e-01,2.843393385410308838e-01,-4.309572555530986893e-03,3.464841559973994706e-02,-9.774095827297114847e-02,-2.528704693093199868e-02,-2.716734081698268799e-01,-9.034510019918846613e-01,-1.687097889828084396e+00,1.108895413413175102e-01,-8.149872670379760820e+00,-1.698250906589894305e+00,1.444092463332062870e-01,-8.208762963202161700e+00,3.413075429463612140e-04,-3.435155820506576377e-03,1.287291779727400408e-04,2.725719796084814534e-04,-6.223994356605371209e-05,6.151127061154934572e-03,-1.869629580727562106e-04,-1.255091896486584105e-06,7.798608698280941524e-06,-6.501396377091489542e-02,1.504400160290671196e-02,-8.764508885433150986e-01,1.216006651520729065e-01,1.770898997783660889e-01,2.350025773048400879e-01,2.843393385410308838e-01,2.045081201940774918e-01,-3.076236695051193237e-03,-5.241299793124198914e-02,1.103256754577159882e-01
9.999999999990905053e-03,8.500000000000000000e+01,-1.072299095765049781e+00,-2.317009355498745871e-01,-6.688464146082007122e-01,-3.237928107824859097e-02,-3.785455081886047179e-01,-1.145045815808194006e-01,1.284040314934677407e-01,1.739249956149271081e-01,2.444090172406335471e-01,2.866678718529562797e-01,-9.008662129518599584e-03,-4.315743714513320395e-04,-1.158257410693909750e-01,-5.818327140389038810e-02,-3.618456762261171855e-01,-1.012168262753099235e+00,-1.675268195655939651e+00,9.536326830283035905e-02,-8.169934450086994815e+00,-1.694538984610637122e+00,1.441865684031121142e-01,-8.239752443341943788e+00,3.754299738200875974e-04,-5.040329293883915977e-03,1.804567203444055795e-04,5.688359775673686993e-04,-5.302953050709306525e-05,7.257857346851023100e-03,-2.066162920083136493e-04,-2.619219819775967150e-06,1.607990362166959595e-05,-6.486365465180476964e-02,1.497814348569244738e-02,-8.797494761615158865e-01,1.220394347593638656e-01,1.768857855667799184e-01,2.356092269764184233e-01,2.844895126747712943e-01,2.083514790504961689e-01,-1.631054754568317389e-03,-4.388990936689105005e-02,1.143739309925975028e-01
1.999999999998181011e-02,8.500000000000000000e+01,-1.072336673197280987e+00,-2.542427229564592217e-01,-7.602675620118526378e-01,-3.250139220944461144e-02,-3.783734578619118993e-01,-1.143215435457761997e-01,1.352073978348625749e-01,1.707600914514881274e-01,2.538154571764270062e-01,2.889964051648816756e-01,-6.548016789144515612e-03,-3.778539922914093963e-02,-1.390309658887670663e-01,1.317025259766947155e-02,-4.391163093415401675e-01,-1.175755704563969273e+00,-1.671374835722961860e+00,6.431088864886962131e-02,-8.215517221900711320e+00,-1.687056447390962388e+00,1.428734909070916159e-01,-8.299785440950429916e+00,4.187404151395778982e-04,-8.154139860677868737e-03,3.182068387713938348e-04,4.121500617913980780e-04,-4.400817088513131134e-05,8.667644828651396155e-03,-2.306277926885271900e-04,-1.897753577474716560e-06,1.137776771540818563e-05,-6.456478549538387235e-02,1.485020302581550183e-02,-8.861430394992662052e-01,1.228886763990951064e-01,1.764907210845106655e-01,2.367834016532253949e-01,2.847801757595968541e-01,2.121948379069148460e-01,-1.858728140854415400e-04,-3.536682080254011096e-02,1.184221865274789898e-01
2.999999999997271516e-02,8.500000000000000000e+01,-1.072339728747510046e+00,-2.767848471281732503e-01,-8.516897158232327181e-01,-3.227317317506980116e-02,-3.789307672926768844e-01,-1.147986666399393729e-01,1.420107641762573814e-01,1.675951872880491189e-01,2.632218971122204931e-01,2.913249384768070716e-01,-2.860455308069949788e-03,-7.315479806231919846e-02,-1.625846564631692470e-01,2.120712604426431558e-01,-4.649815775344066648e-01,-1.401713951267140823e+00,-1.665589793794912232e+00,3.441061896050633812e-02,-8.288256348452319955e+00,-1.675645991624576281e+00,1.407906547459971125e-01,-8.386921487273182763e+00,4.560688324786250003e-04,-1.106798546420202645e-02,4.511908217037898308e-04,1.792276208920051380e-04,-3.470587451818119912e-05,1.007840647685632335e-02,-2.503640605589429417e-04,-8.253345021750890871e-07,4.776172621136409366e-06,-6.411212386280297493e-02,1.466330475081244547e-02,-8.954489863642772773e-01,1.241219174923343521e-01,1.759170212902237407e-01,2.384884999366038705e-01,2.852022672394824432e-01,2.160381967633335232e-01,1.259309126397434309e-03,-2.684373223818915799e-02,1.224704420623605461e-01
3.999999999996362021e-02,8.500000000000000000e+01,-1.072308262228306663e+00,-2.993273115561760345e-01,-9.431131512481690793e-01,-3.224100625412058135e-02,-3.788778597061430164e-01,-1.148066206808998346e-01,1.488141305176522156e-01,1.644302831246101382e-01,2.726283370480139245e-01,2.936534717887324675e-01,6.979965538328657126e-03,-5.815008207821494024e-02,-1.788789729055714761e-01,2.601152085004203030e-01,-4.400607221958059423e-01,-1.471148498020023565e+00,-1.664878094536095032e+00,4.732354921915504255e-03,-8.390623283333843219e+00,-1.659428557106439550e+00,1.373353678142090473e-01,-8.499440872435039651e+00,4.928229398832073603e-04,-1.379787943733083548e-02,5.938215061344362476e-04,-4.348336522019870536e-04,-4.468818641232010603e-05,1.103557196386573645e-02,-2.665873600387740636e-04,2.002956722053009073e-06,-1.105352211998064012e-05,-6.349492130217038177e-02,1.442002420853997352e-02,-9.075032227165589216e-01,1.257143927565786690e-01,1.751762069137709488e-01,2.406902809624481832e-01,2.857473109009781020e-01,2.198815556197522003e-01,2.704491066880310157e-03,-1.832064367383823278e-02,1.265186975972420191e-01
4.999999999995452526e-02,8.500000000000000000e+01,-1.072242273420221270e+00,-3.218701197319632779e-01,-1.034538143479732497e+00,-3.234796968441541742e-02,-3.785743066852350069e-01,-1.145655207340465220e-01,1.556174968590470498e-01,1.612653789611711574e-01,2.820347769838074115e-01,2.959820051006578634e-01,1.682038638472726361e-02,-4.314536609411068202e-02,-1.951732893479737052e-01,1.307834149142780011e-01,-3.778487144083262916e-01,-1.373173546380562993e+00,-1.659314190075434903e+00,-2.397825673746623032e-02,-8.517833322554833941e+00,-1.638489327739670154e+00,1.331497191582242112e-01,-8.636499329067774511e+00,5.204802768591639895e-04,-1.635222541446796490e-02,7.262538193927652822e-04,-1.040768855981261858e-03,-5.295227502649662324e-05,1.196851100430849392e-02,-2.768480946646775754e-04,4.796853888082768875e-06,-2.491966987636985866e-05,-6.269814743091614573e-02,1.412247551181238653e-02,-9.221579509672246378e-01,1.276429340970602622e-01,1.742790556784013511e-01,2.433567121632139174e-01,2.864073771871948892e-01,2.237249144761708775e-01,4.149673007363186006e-03,-9.797555109487265934e-03,1.305669531321235199e-01
5.999999999994543032e-02,8.500000000000000000e+01,-1.072141762071786131e+00,-3.444132751473714116e-01,-1.125964967694746743e+00,-3.248169545290139487e-02,-3.783540527687083155e-01,-1.143329834847796322e-01,1.624208632004418840e-01,1.581004747977321767e-01,2.914412169196008984e-01,2.983105384125832593e-01,7.522715887982655419e-03,-1.388316865705112313e-02,-2.059284921125939527e-01,2.058151277074860355e-02,-2.973008678046956121e-01,-1.317974685678520386e+00,-1.617555375948832808e+00,-4.911121348386814078e-02,-8.672384885934288690e+00,-1.612157530967752717e+00,1.309332748023037396e-01,-8.797247011394620841e+00,5.325940190822137316e-04,-1.873031400891951928e-02,7.979158829435794220e-04,-4.619150780785188275e-04,-6.413052049580154033e-05,1.254375597621895655e-02,-2.772983233774788613e-04,2.131076556306962936e-06,-1.027357883569732810e-05,-6.170352526481995281e-02,1.377238616331352000e-02,-9.392797471213573113e-01,1.298858675992939915e-01,1.732356502194971615e-01,2.464578268482148227e-01,2.871750479422749414e-01,2.275682733325895546e-01,5.594854947846034099e-03,-1.274466545136326845e-03,1.346152086670050485e-01
6.999999999993633537e-02,8.500000000000000000e+01,-1.072701256797280234e+00,-3.460268581456970582e-01,-1.263645567545525816e+00,-3.237219374201311117e-02,-3.787138201871819709e-01,-1.145868502763990882e-01,1.692242295418366904e-01,1.549355706342931960e-01,3.008476568553943298e-01,3.006390717245086552e-01,-3.044296986228319651e-03,1.632466254670382477e-02,-2.163163107113249550e-01,-6.909255221912828648e-02,-1.970772632710100780e-01,-1.308677843366166105e+00,-1.568335040335801400e+00,-7.293159411189086005e-02,-8.849022796436681659e+00,-1.580065544971693381e+00,1.285378958725294785e-01,-8.979619806430234163e+00,5.360879146469871423e-04,-2.095371379606713810e-02,8.634134481745776857e-04,1.853681035478756144e-04,-7.399791595690429402e-05,1.307652301682577303e-02,-2.724343009546877125e-04,-8.565213843685929917e-07,3.769426799562336472e-06,-6.049039610091867802e-02,1.337116090056432796e-02,-9.587478809935916502e-01,1.324229171648860226e-01,1.720554229128860024e-01,2.499655909689956212e-01,2.880433834295972328e-01,2.314116321890082317e-01,7.040036888328909948e-03,7.248622019214584489e-03,1.386634642018865493e-01
7.999999999992724042e-02,8.500000000000000000e+01,-1.073268144133659119e+00,-3.474078793512996866e-01,-1.401848454582490300e+00,-3.224734139118420884e-02,-3.789261311903192597e-01,-1.148038189961098909e-01,1.760275958832315246e-01,1.517706664708541875e-01,3.102540967911878167e-01,3.029676050364340512e-01,-8.461872630125641392e-03,6.550136173019334776e-03,-2.321161236357629498e-01,-7.631312758061047086e-02,8.840838559806313279e-02,-1.163363524417198924e+00,-1.522080350904872148e+00,-9.628369893734450846e-02,-9.043807154017382999e+00,-1.542207223544769468e+00,1.250715531424403393e-01,-9.182905389017903985e+00,5.171537868510187085e-04,-2.303643877357981762e-02,9.388075245071755923e-04,5.106625820936694328e-04,-6.535991162754345538e-05,1.390324847185177987e-02,-2.573974316562631717e-04,-2.364741935032493206e-06,9.316780180689965076e-06,-5.903643846282859153e-02,1.291993607140030920e-02,-9.804528482979346649e-01,1.352351143621597640e-01,1.707471978120400358e-01,2.538537784774076433e-01,2.890058914770783915e-01,2.352549910454269089e-01,8.485218828811785796e-03,1.577171058356555133e-02,1.427117197367680779e-01
8.999999999991814548e-02,8.500000000000000000e+01,-1.073834818698495619e+00,-3.487912798868161857e-01,-1.540055279093872409e+00,-3.224779769166208343e-02,-3.789508011257757825e-01,-1.148015332610955730e-01,1.828309622246263588e-01,1.486057623074152068e-01,3.196605367269812481e-01,3.052961383483594471e-01,-1.291316432811583613e-02,-1.072701787018326414e-02,-2.489314889396893049e-01,-4.723945684418345142e-02,3.210519082518439871e-01,-9.785056414323058949e-01,-1.470930487323274471e+00,-1.188085328792278100e-01,-9.258414697178212194e+00,-1.497582576174386615e+00,1.210986808792637037e-01,-9.406332313029732717e+00,4.831383531390653343e-04,-2.498513933521091454e-02,1.013180499862514254e-03,7.720451988083542856e-04,-5.181698905205646161e-05,1.476748377496150261e-02,-2.349915759477408210e-04,-3.585618824586982521e-06,1.234455249607898666e-05,-5.731826231218711820e-02,1.241962585064802956e-02,-1.004295087405573828e+00,1.383047140907866512e-01,1.693192298806188156e-01,2.580978547222181341e-01,2.900564986123865263e-01,2.390983499018455583e-01,9.930400769294689400e-03,2.429479914791649042e-02,1.467599752716495787e-01
