t_ulog,raw_lift,raw_roll,raw_pitch,raw_yaw,raw_tilt,raw_wheel0,raw_wheel1,sem_lift,sem_roll,sem_pitch,sem_yaw,sem_tilt,sem_wheel0,sem_wheel1,pub0,pub1,pub2,pub3,mode,gate,clip_frac,obs_norm
3.265535489999999754e+02,-7.133377194404602051e-01,1.192169487476348877e-01,-1.164763942360877991e-01,1.541462242603302002e-01,-1.181147575378417969e+00,1.587972640991210938e-01,1.384468913078308105e+00,1.433311402797698975e-01,1.192169487476348877e-01,-1.164763942360877991e-01,1.541462242603302002e-01,-1.000000000000000000e+00,1.587972640991210938e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.323251417769376152e-02,5.763060653472348305e-01
3.265735489999999572e+02,-6.205848455429077148e-01,1.440557688474655151e-01,-1.460120677947998047e-01,2.136498987674713135e-01,-1.195053339004516602e+00,1.838933676481246948e-01,1.447545647621154785e+00,1.897075772285461426e-01,1.440557688474655151e-01,-1.460120677947998047e-01,2.136498987674713135e-01,-1.000000000000000000e+00,1.838933676481246948e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.134215500945179658e-02,5.731605480547630194e-01
3.265935489999999959e+02,-5.857425332069396973e-01,1.433927118778228760e-01,-1.551680564880371094e-01,1.872487664222717285e-01,-1.200084805488586426e+00,1.866509020328521729e-01,1.445185542106628418e+00,2.071287333965301514e-01,1.433927118778228760e-01,-1.551680564880371094e-01,1.872487664222717285e-01,-1.000000000000000000e+00,1.866509020328521729e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.451795841209829907e-03,5.702803601686727841e-01
3.266135489999999777e+02,-5.732614398002624512e-01,1.394683271646499634e-01,-1.639317423105239868e-01,1.618745923042297363e-01,-1.201950550079345703e+00,2.071788460016250610e-01,1.408232569694519043e+00,2.133692800998687744e-01,1.394683271646499634e-01,-1.639317423105239868e-01,1.618745923042297363e-01,-1.000000000000000000e+00,2.071788460016250610e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.670076359040815417e-01
3.266335489999999595e+02,-5.651493072509765625e-01,1.366872638463973999e-01,-1.612219810485839844e-01,1.697745472192764282e-01,-1.208272099494934082e+00,2.340573817491531372e-01,1.362553000450134277e+00,2.174253463745117188e-01,1.366872638463973999e-01,-1.612219810485839844e-01,1.697745472192764282e-01,-1.000000000000000000e+00,2.340573817491531372e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.624689848382664614e-01
3.266535489999999982e+02,-5.646062493324279785e-01,1.213655024766921997e-01,-1.458284556865692139e-01,1.547834873199462891e-01,-1.228850126266479492e+00,2.409806847572326660e-01,1.329491853713989258e+00,2.176968753337860107e-01,1.213655024766921997e-01,-1.458284556865692139e-01,1.547834873199462891e-01,-1.000000000000000000e+00,2.409806847572326660e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.591227705989691987e-01
3.266735489999999800e+02,-6.345904469490051270e-01,7.977376133203506470e-02,-1.532428115606307983e-01,1.346578598022460938e-01,-1.258308053016662598e+00,2.751456201076507568e-01,1.236952900886535645e+00,1.827047765254974365e-01,7.977376133203506470e-02,-1.532428115606307983e-01,1.346578598022460938e-01,-1.000000000000000000e+00,2.751456201076507568e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.558973573261438705e-01
3.266935489999999618e+02,-6.384745836257934570e-01,7.073040306568145752e-02,-1.661204397678375244e-01,1.852696239948272705e-01,-1.275968432426452637e+00,2.846577763557434082e-01,1.252655982971191406e+00,1.807627081871032715e-01,7.073040306568145752e-02,-1.661204397678375244e-01,1.852696239948272705e-01,-1.000000000000000000e+00,2.846577763557434082e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.526340910286138275e-01
3.267135490000000004e+02,-6.659877896308898926e-01,7.448050379753112793e-02,-1.715052872896194458e-01,2.164205461740493774e-01,-1.274056434631347656e+00,3.477229475975036621e-01,1.231653928756713867e+00,1.670061051845550537e-01,7.448050379753112793e-02,-1.715052872896194458e-01,2.164205461740493774e-01,-1.000000000000000000e+00,3.477229475975036621e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.487976514778355464e-01
3.267335489999999822e+02,-7.190512418746948242e-01,7.669780403375625610e-02,-1.791092753410339355e-01,2.314318418502807617e-01,-1.268167614936828613e+00,3.745335638523101807e-01,1.220930099487304688e+00,1.404743790626525879e-01,7.669780403375625610e-02,-1.791092753410339355e-01,2.314318418502807617e-01,-1.000000000000000000e+00,3.745335638523101807e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.455484673137289686e-01
3.267535489999999641e+02,-7.185294032096862793e-01,8.776777237653732300e-02,-1.797709316015243530e-01,2.321463078260421753e-01,-1.261395096778869629e+00,3.989647924900054932e-01,1.262412786483764648e+00,1.407352983951568604e-01,8.776777237653732300e-02,-1.797709316015243530e-01,2.321463078260421753e-01,-1.000000000000000000e+00,3.989647924900054932e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.445635159328360286e-01
3.267735490000000027e+02,-6.978684663772583008e-01,8.028849959373474121e-02,-1.855268031358718872e-01,2.212769985198974609e-01,-1.288337349891662598e+00,4.030450880527496338e-01,1.231579303741455078e+00,1.510657668113708496e-01,8.028849959373474121e-02,-1.855268031358718872e-01,2.212769985198974609e-01,-1.000000000000000000e+00,4.030450880527496338e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.451031729247676205e-01
3.267935489999999845e+02,-7.195244431495666504e-01,7.040642201900482178e-02,-1.893094927072525024e-01,2.167449444532394409e-01,-1.273310184478759766e+00,3.939796090126037598e-01,1.229296445846557617e+00,1.402377784252166748e-01,7.040642201900482178e-02,-1.893094927072525024e-01,2.167449444532394409e-01,-1.000000000000000000e+00,3.939796090126037598e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.453284742060809931e-01
3.268135489999999663e+02,-7.138363718986511230e-01,8.184447884559631348e-02,-1.707661002874374390e-01,2.026967704296112061e-01,-1.261405944824218750e+00,4.200289845466613770e-01,1.201783895492553711e+00,1.430818140506744385e-01,8.184447884559631348e-02,-1.707661002874374390e-01,2.026967704296112061e-01,-1.000000000000000000e+00,4.200289845466613770e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.432498747536498307e-01
3.268335489999999481e+02,-6.772720813751220703e-01,7.883001863956451416e-02,-1.775323152542114258e-01,2.159889340400695801e-01,-1.274616122245788574e+00,4.166304469108581543e-01,1.226678967475891113e+00,1.613639593124389648e-01,7.883001863956451416e-02,-1.775323152542114258e-01,2.159889340400695801e-01,-1.000000000000000000e+00,4.166304469108581543e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.409096832912481112e-01
3.268535489999999868e+02,-6.739425659179687500e-01,6.736085563898086548e-02,-1.893553733825683594e-01,1.821570992469787598e-01,-1.294601202011108398e+00,4.369761347770690918e-01,1.212501883506774902e+00,1.630287170410156250e-01,6.736085563898086548e-02,-1.893553733825683594e-01,1.821570992469787598e-01,-1.000000000000000000e+00,4.369761347770690918e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.561436672967864099e-03,5.399610855951348931e-01
